Row,Title
Row 1,The Picture of Dorian Gray
Row 2,Cranford
Row 3,The Red Badge of Courage
Row 4,Wuthering Heights
Row 5,Great Expectations
Row 6,Women in Love
Row 7,A Tale of Two Cities
Row 8,The War of the Worlds
Row 9,Uncle Tom's Cabin
Row 10,North and South
Row 11,The Beautiful and Damned
Row 12,Ann Veronica
Row 13,Tess of the d'Urbervilles
Row 14,The Tenant of Wildfell Hall
Row 15,The Great Gatsby
Row 16,Heart of Darkness
Row 17,The Invisible Man
Row 18,The Age of Innocence
Row 19,Pride and Prejudice
Row 20,Emma
Row 21,Dracula
Row 22,Mansfield Park
Row 23,Lady Chatterley's Lover
Row 24,Jane Eyre
Row 25,Middlemarch
Row 26,She
Row 27,The Mayor of Casterbridge
Row 28,Howard's End
Row 29,This Side of Paradise
Row 30,A Portrait of the Artist as a Young Man
Row 31,The Awakening
Row 32,A Room with a View
Row 33,The History of Mr. Polly
Row 34,The Thirty-Nine Steps
Row 35,An Outcast of the Islands
Row 36,Bleak House
Row 37,Madame Bovary
Row 38,The Princess and the Goblin
Row 39,Dubliners
Row 40,Sister Carrie
Row 41,The Call of the Wild
Row 42,Ethan Frome
Row 43,Oliver Twist
Row 44,David Copperfield
Row 45,Of Human Bondage
Row 46,The Scarlet Letter
Row 47,Sons and Lovers
Row 48,Moby-Dick
Row 49,The Color Purple
Row 50,The Secret Garden
Row 51,The Adventures of Huckleberry Finn
Row 52,The Time Machine
Row 53,The Turn of the Screw
Row 54,The American
Row 55,Washington Square
Row 56,Daisy Miller
Row 57,Siddhartha
Row 58,The Iron Heel
Row 59,The Grapes of Wrath
Row 60,Nostromo
Row 61,The Secret Agent
Row 62,Anna Karenina
Row 63,The Kreutzer Sonata
Row 64,Little Women
Row 65,The House of the Seven Gables
Row 66,Invisible Man
Row 67,Native Son
Row 68,The Man Who Would Be King
Row 69,Kim
Row 70,Main Street
Row 71,Babbitt
Row 72,Far from the Madding Crowd
Row 73,The Woman in White
Row 74,My Antonia
Row 75,O Pioneers!
