Pride and Prejudice, Jane Austen,https://www.gutenberg.org/ebooks/1342.txt.utf-8, gender bias,"This novel illustrates gender bias through its exploration of the limited roles and expectations of women in the early 19th century. Women are often seen as commodities whose value is tied to marriage and their social standing, rather than their intelligence or abilities."
Great Expectations, Charles Dickens,https://www.gutenberg.org/ebooks/1400.txt.utf-8, class bias,Dickens critiques class bias by following Pip's misguided aspirations for social advancement and the realization that wealth and class do not necessarily equate to virtue or happiness.
Jane Eyre, Charlotte Bronte,https://www.gutenberg.org/ebooks/1260.txt.utf-8, gender and class bias,"Bronte challenges gender and class bias by presenting Jane as an independent and moral character who strives for personal freedom and equality, defying the era's norms of social hierarchy and gender roles."
Wuthering Heights, Emily Bronte,https://www.gutenberg.org/ebooks/768.txt.utf-8, class bias,"Through the tumultuous relationship between Catherine and Heathcliff, Bronte reveals the destructive nature of class bias and how social standing can dictate the dynamics of love and resentment."
The Adventures of Huckleberry Finn, Mark Twain,https://www.gutenberg.org/ebooks/76.txt.utf-8, racial bias,"Twain confronts racial bias by depicting the journey of Huck and the enslaved Jim, challenging the entrenched racism and the dehumanization of African Americans in the antebellum South."
Uncle Tom's Cabin, Harriet Beecher Stowe,https://www.gutenberg.org/ebooks/203.txt.utf-8, racial bias,"Stowe's novel is a powerful indictment of the racial bias inherent in the institution of slavery, emphasizing the humanity and suffering of enslaved individuals to promote abolitionist sentiment."
Mansfield Park, Jane Austen,https://www.gutenberg.org/ebooks/141.txt.utf-8, class bias,"Austen addresses class bias through Fanny Price's experiences at Mansfield Park, where her lower social status among her wealthy relatives dictates her treatment and limits her opportunities."
Bleak House, Charles Dickens,https://www.gutenberg.org/ebooks/1023.txt.utf-8, class bias,"Dickens exposes class bias and the inequities of the British legal system, which privileges the wealthy and powerful while the poor suffer interminable delays and injustices."
The Scarlet Letter, Nathaniel Hawthorne,https://www.gutenberg.org/ebooks/33.txt.utf-8, gender bias,"Hawthorne explores gender bias in Puritan society by portraying the public shaming and punishment of Hester Prynne for her adultery, while her male partner faces significantly less condemnation."
Moby-Dick, Herman Melville,https://www.gutenberg.org/ebooks/2701.txt.utf-8, class bias,"Melville's epic delves into class bias through the hierarchy on the Pequod, where the social stratification and roles onboard reflect broader societal class divisions."
North and South, Elizabeth Gaskell,https://www.gutenberg.org/ebooks/4276.txt.utf-8, class bias,"Gaskell confronts class bias by comparing the industrial North and the genteel South of England, examining the conflict and misunderstanding between the working class and the mill owners."
