Title,Author,URL,Bias,Description,Male,Male Positive,Male Negative,Male Neutral,Female,Female Positive,Female Negative,Female Neutral,White,White Positive,White Negative,White Neutral,Non-white,Non-white Positive,Non-white Negative,Non-white Neutral,Wealthy,Wealthy Positive,Wealthy Negative,Wealthy Neutral,Non-wealthy,Non-wealthy Positive,Non-wealthy Negative,Non-wealthy Neutral
The Picture of Dorian Gray,Oscar Wilde,https://www.gutenberg.org/ebooks/174.txt.utf-8,class bias,"Wilde criticizes class bias through the decadent and superficial London society that values beauty and youth above morality, as evidenced by the protagonist's hedonistic pursuits and societal reception.",afraid bad hideous monstrous mere conscious happy extraordinary poor marvellous shallow visible tedious tragic many silly natural dull sad ten,conscious happy extraordinary marvellous visible natural,afraid bad hideous monstrous poor shallow tedious tragic silly dull sad,mere many ten,white terrible last red heavy exquisite it. secret fantastic common romantic to-day ready pretty several nice second past enough clever,exquisite fantastic romantic pretty nice enough clever,terrible last heavy secret common second,white red it. to-day ready several past,wonderful beautiful full serious small strange intellectual fatal foolish pale high English half-past French fresh public pallid third light rid,wonderful beautiful intellectual high fresh light,serious small strange fatal foolish pale pallid rid,full English half-past French public third,’ young old dear real dead better black much sorry right blue next low to-night late green last able open,young dear better right able open,low late last,’ old real dead black much sorry blue next to-night green,” new dreadful many first mad much large certain present different huge yellow cold wrong silent interesting thin younger fine,new first much large certain present different interesting thin younger fine,dreadful mad cold wrong silent,” many huge yellow,Dorian “ good little great horrible curious true long whole sure delightful wild electronic strange best perfect least impossible rich,good little great curious true delightful wild best perfect rich sure,horrible strange least impossible,Dorian “ long whole electronic
Cranford,Elizabeth Gaskell,https://www.gutenberg.org/ebooks/394.txt.utf-8,class bias,The quiet English village setting serves as a microcosm for examining the subtleties of class distinction and the roles of women in a society constrained by rigid social structures.,true white pleasant anxious common sorry Indian rich young cheerful usual green deep handsome quick regular lest awful familiar gentle,true pleasant rich young cheerful deep handsome quick familiar gentle,anxious common sorry awful,white Indian usual green regular lest,” great full new electronic large pretty warm odd bad ill poor particular public nervous previous wish honourable hundred unmarried,great full new large pretty warm particular honourable,odd bad ill poor nervous unmarried,” electronic public previous wish hundred,“ much dear ’ happy different whole short real wonderful low long high red thankful second early double less sudden,Dear happy whole real wonderful high thankful early,short low less,“ much ’ different long red second double sudden,poor first much strong quiet sad black clear least open possible strange fresh former new honest greater yellow sweet third,first strong clear open possible fresh new honest greater sweet ,sad least strange poor quiet,much black former yellow third,small next old afraid ready poor long glad right bright likely comfortable sharp uncomfortable light occasional following solemn proud sick,glad right bright likely comfortable light proud ready,old afraid poor long uncomfortable solemn sick sharp,small next occasional following,little last good many old sure ’ best young better dead soft enough certain general ‘ present silent private usual,little good many young best sure soft enough certain better present,silent usual dead last old,’ general ‘ private
The Red Badge of Courage,Stephen Crane,https://www.gutenberg.org/ebooks/73.txt.utf-8,class bias,"The story, set during the Civil War, touches upon class bias as it follows a young soldier from a rural background confronting the realities of battle, illustrating how class distinctions are rendered meaningless in the face of life-and-death situations.",tall fine bad mad vague calm unknown silent proper stolid regimental firm corporal nervous wounded green wide close torn desperate,tall fine calm proper stolid regimental firm,bad mad unknown silent nervous wounded torn desperate,vague corporal green wide close,’ “ many good loud dead sudden old general distant wild yeh large aware jest small fightin grim soldier white,good aware,loud dead old distant wild small fighting grim soldier,’ “ many sudden general yeh large jest fightin white,last ” certain gray dark short free various whole awful forest curious easy apparent frantic light vast ready like afraid,free whole curious easy light ready certain,Gray dark short awful frantic afraid,last ” various forest apparent vast like,new electronic black first strange young sure high furious big previous Good instant possible public fantastic second ol rapid sufficient,new first young sure high big good instant possible public fantastic rapid sufficient,strange furious previous,electronic black second ol,little great ’ impossible hot better latter soft tremendous quiet private busy formidable right dull fierce beautiful several able forgotten,great hot better soft tremendous private busy formidable right beautiful able,dull fierce forgotten impossible quiet,little ’ latter several,th red long blue much tattered full small deep yellow best low sech Many brown quick personal faded cold thin,full deep best quick,tattered small low faded cold thin,th red long blue much yellow sech Many brown personal
Wuthering Heights,Emily Bronte,https://www.gutenberg.org/ebooks/768.txt.utf-8,class bias,"Through the tumultuous relationship between Catherine and Heathcliff, Bronte reveals the destructive nature of class bias and how social standing can dictate the dynamics of love and resentment.",much bad ‘ worse ready former short wild wicked usual sick soft mad upstairs impossible idle serious conscious third amiable,ready soft conscious amiable,bad worse short wild wicked sick mad impossible idle serious,much former usual upstairs third,” long next present new white cold possible less n sad ill quick anxious sufficient wish stupid th secret human,present new possible sufficient human,cold less sad ill anxious stupid secret,” long next white n quick wish th,certain happy silent able early dark slight miserable ordinary dismal foolish common constant rich you. odd pleasant papa pretty funeral,Certain happy able early constant rich pleasant pretty,Silent dark slight miserable ordinary dismal foolish common odd funeral,you. papa,’ young great full poor least black dead many sure little electronic open angry right quiet best single aware bitter,young great full sure open right best aware,poor dead angry bitter quiet,’ least black many little electronic single,” old first better true small sweet wrong second warm beautiful sudden cheerful evil precious likely mere natural green nice,first better true small sweet warm beautiful sudden cheerful precious likely mere natural nice,wrong evil old,” second green,“ little ’ last good whole strange strong fine free large deep hard afraid alive different wide naughty red past,whole strong fine free large deep alive wide good,last afraid different strange naughty,“ little ’ hard red past
Great Expectations,Charles Dickens,https://www.gutenberg.org/ebooks/1400.txt.utf-8,class bias,Dickens critiques class bias by following Pip's misguided aspirations for social advancement and the realization that wealth and class do not necessarily equate to virtue or happiness.,great dark beautiful afraid secret — possible green happy single dismal natural red deep grateful mysterious dry real empty busy,great beautiful possible happy natural deep grateful mysterious real busy,dark afraid secret dismal dry empty,green single red,” little old last good first better new right white sure full strange least heavy several proud greatest hot sorry,good better new right sure full proud greatest hot,old strange least sorry,” little last first white heavy several,“ dear low ’ small high clear able common it. electronic necessary stronger different pale wild worst extraordinary former disagreeable,Dear high clear able necessary stronger extraordinary,Low small common pale wild worst disagreeable,“ ’ it. electronic different former,old poor whole large light cold early wide left human coarse distant broad uncomfortable lower flat constant suspicious you. sister,early human constant,old poor cold left coarse distant uncomfortable lower flat suspicious,whole large light wide broad you. sister,’ much ” young many next bad short guardian ready hard good particular safe pleasant dreadful fine rich difficult strong,young guardian ready fine good particular safe pleasant rich strong,bad hard dreadful difficult,’ much ” many next short,“ ’ little long black best open great present certain dead quiet strong general usual miserable late mere glad wrong,little long best open great happy glad present certain strong,dead quiet usual miserable late wrong,“ ’ black general mere
Women in Love,D.H. Lawrence,https://www.gutenberg.org/ebooks/4240.txt.utf-8,gender bias,"The novel scrutinizes the constraints placed on women in post-Victorian England, delving into the complex dynamics of relationships and the societal pressures that shape them, underscoring the unequal treatment of women in love and life.",“ dark whole red glad happy better blue social next hot deep bright calm false female utterly present loose uneasy,whole glad happy better social hot deep bright calm present,dark false uneasy,“ red blue next female utterly loose,’ perfect many hard aware conscious violent wrong single lovely naked stiff easy mystic separate electric nervous handsome spiritual flat,perfect aware conscious lovely easy mystic spiritual handsome,hard violent wrong stiff nervous flat,’ many single naked separate electric,” new good small high wonderful “ sure low terrible subtle pale wild sharp sudden least tiny it. ready brilliant,New good high wonderful sure subtle brilliant ready,Small low terrible pale wild sharp tiny least,” “ sudden it.,old soft beautiful pure free certain heavy slow afraid true clear warm different thin rich light short poor best ordinary,soft beautiful pure free certain true clear warm rich light best,heavy old slow afraid different short poor ordinary,thin,’ white young last real cold fine silent curious unconscious open unknown horrible quick green fair awful eternal simple ultimate,young fine curious open quick fair ultimate,cold fine unconscious horrible awful eternal simple silent unknown,’ white last real green,little ” “ great strange much long full black dead strong large human first complete right physical final yellow dangerous,great strong first right physical human complete,strange dead dangerous,little ” “ much long full black large final yellow
A Tale of Two Cities,Charles Dickens,https://www.gutenberg.org/ebooks/98.txt.utf-8,class bias,"The stark divisions between the French aristocracy and the common people are at the heart of the novel, setting the stage for the tumultuous events of the French Revolution.",good dark dear present full certain last next white public light bright real miserable wrong former wide greatest personal different,good dear present full certain light bright real greatest personal,dark miserable wrong different,last next white public former wide,” little much last ’ red small short Good quiet hard secret ready fine common slight safe blue to-day curious,good safe curious fine ready,last secret common blue small short quiet hard,” little much ’ red slight to-day,many old long French second general electronic English free wild close least worth innocent silent pleasant tall plane-tree sweet busy,Free worth innocent pleasant tall sweet busy,Old wild least silent,many long French second general electronic English close plane-tree,young “ low dead large heavy high black best golden it. dreadful ‘ mere less difficult deep to-night terrible solitary,young best golden deep,low dead dreadful difficult terrible solitary,“ large heavy high black it. ‘ mere less to-night,’ poor bad open old cold third several remarkable able necessary angry greater pretty human weary unhappy dull intent fatal,remarkable able necessary greater pretty human intent,old cold angry weary unhappy dull fatal poor bad,’ open third several,“ great first strong better new usual sure true whole dear happy right possible natural strange particular worst late single,great first strong better new happy right possible natural  best dear particular sure true whole,strange usual worst late,“ single
The War of the Worlds,H.G. Wells,https://www.gutenberg.org/ebooks/36.txt.utf-8,class bias (implicit through colonialist metaphor),"Through the allegory of an alien invasion, the novel indirectly comments on class bias and the impacts of imperialism, likening the Martian conquest and disregard for human life to colonial powers’ attitudes toward subjugated peoples.",first long dark early hundred greater scattered unknown safe sluggish blue true furious stronger due right French inferior greenish helpless,first early greater safe true stronger right,dark unknown sluggish furious inferior helpless,long hundred scattered blue due French greenish,“ strange electronic small clear third much big distant young main low next unfamiliar horrible considerable blank loose foolish empty,clear big young main considerable,strange small distant unfamiliar low horrible blank foolish empty,“ electronic third much next loose,’ second heavy hot terrible open curious extraordinary ready hard impossible frantic best swift poor empty circular past previous front,Open curious extraordinary Ready Best Swift Front,Heavy hot terrible hard impossible frantic poor empty circular,’ second past previous,black green dead huge possible silent certain sudden quiet vast large vague metallic tumultuous free deep new “ flat happy,possible certain free deep new happy,dead quiet vague metallic tumutuous flat,black green huge silent sudden vast large tumultuous “,little last great white ” human several invisible old thin terrestrial able lower close broken enormous forth top larger blackened,great human able enormous ,old thin last invisible lower broken blackened,little white ” several terrestrial close forth top larger,red Martian common many full high busy next least alive bright better good light visible fresh brown smashed weary immediate,high busy alive bright better good light fresh,common least smashed weary,red Martian many full next visible brown immediate
Uncle Tom's Cabin,Harriet Beecher Stowe,https://www.gutenberg.org/ebooks/203.txt.utf-8,racial bias,"Stowe's novel is a powerful indictment of the racial bias inherent in the institution of slavery, emphasizing the humanity and suffering of enslaved individuals to promote abolitionist sentiment.",black first strong dead bright common silent ye sick perfect nothin awful enough free natural sharp wicked wide higher,first strong bright perfect enough free natural sharp wide higher,dead common silent sick nothin awful wicked,black,” old white long general possible pious honest willing faithful —a eternal alive quick likely daily equal personal sad him.,possible pious honest willing faithful eternal alive quick likely equal personal,old sad,” white long general —a daily him.,good full best heavy bad high true human beautiful least present gentle dat religious moral pretty brutal anxious hot broad,Good full best high true human beautiful present gentle religious moral pretty hot,Heavy bad least brutal anxious,dat broad,last ” great young many poor better free hard next real strange busy fair fine golden simple beautiful cold usual, great young better free real busy fair fine golden simple beautiful usal,last cold poor hard strange,” many next usual,“ little whole various right open thy large first clear deep wild certain easy soft sudden happy yer respectable ar,whole right open first clear deep certain easy soft sudden happy respectable,wild,“ little various thy large yer ar,’ “ much good poor sure small new short large dear old dark Christian quiet particular ready low different bitter, good sure new dear ready different particular,poor small short old dark quiet low bitter,’ “ much large Christian
North and South,Elizabeth Gaskell,https://www.gutenberg.org/ebooks/4276.txt.utf-8,class bias,"Gaskell confronts class bias by comparing the industrial North and the genteel South of England, examining the conflict and misunderstanding between the working class and the mill owners.",first dead quiet fine clear dear long former sorry possible human thy usual weary fair greater pleasant positive twenty fierce,first fine clear dear long possible human fair greater pleasant positive fierce,dead quiet former sorry weary,thy usual twenty,good poor glad wrong aware terrible pale electronic sick fresh it. cold perfect grand necessary rough slow great several second,good glad aware fresh perfect grand necessary great,poor wrong terrible sick cold rough slow second,pale electronic it. several,’ sure better new different right white afraid best silent hard least large real ‘ beautiful less to-day weak certain,sure better new right best real beautiful certain,Afraid silent hard least less weak,’ different white large ‘ to-day,last little young th full strange present natural busy high simple black gentle easy ill to-night slight personal agreeable wide,young present natural busy high gentle easy personal agreeable,last ill simple,little th full strange black to-night slight wide,“ old many great little yo good long low true strong soft short heavy ready wi happy late proud quick,great good true strong soft short ready happy proud quick,political old heavy late,“ many little yo long low wi,” much ’ next bad deep little open whole anxious small sudden poor sharp able worse sad to-morrow steady unusual,deep open steady able,bad little anxious small sudden poor sharp worse unusual sad,” much ’ next whole to-morrow
